Algorithm,Train Accuracy (%),Test Accuracy (%),Macro F1-Score (%),Latency (ms/img)
Alg 1: Open-Close,100.0,91.67,91.69,7.99
Alg 2: Dual Top-Hat,99.3,78.47,78.67,7.35
Alg 3: Morph Gradient,100.0,90.28,90.34,6.14
Alg 4: MC Watershed,99.47,71.53,71.89,13.94
MRMF (Multi-Representation Morphological Fusion),100.0,98.61,98.61,24.67
