HSV_H_Mean,HSV_H_Std,HSV_H_Min,HSV_H_Max,HSV_H_Median,HSV_H_Q25,HSV_H_Q75,HSV_S_Mean,HSV_S_Std,HSV_S_Min,HSV_S_Max,HSV_S_Median,HSV_S_Q25,HSV_S_Q75,HSV_V_Mean,HSV_V_Std,HSV_V_Min,HSV_V_Max,HSV_V_Median,HSV_V_Q25,HSV_V_Q75,Image_Name,Label
24.755779601733533,2.3084145391153945,15,43,24.0,23.0,25.0,186.7077730243447,52.33756073653926,7,255,192.0,168.0,224.0,117.69842950906481,37.210169294766565,39,202,120.0,91.0,146.0,image_0_1014.jpg,overripe
25.05390114407547,10.836252127603938,0,175,24.0,23.0,25.0,184.80151475035186,56.10378814091958,0,255,190.0,166.0,223.0,142.266976491409,57.197214534165695,0,255,151.0,108.0,184.0,image_0_1014.jpg,overripe
25.143023369239557,13.607895666926547,0,175,24.0,23.0,25.0,180.10525215646382,61.90767869187971,0,255,189.0,162.0,222.0,137.00561586377,62.54439292263351,0,255,148.0,101.0,183.0,image_0_1014.jpg,overripe
24.767603572971392,2.281618904295212,13,40,24.0,23.0,25.0,184.05809562297068,52.86924889089046,7,255,189.0,165.0,220.0,149.54516380763926,46.3938845477864,52,255,152.0,116.0,185.0,image_0_1014.jpg,overripe
25.230173771268515,2.489950271272549,0,42,25.0,24.0,26.0,156.17257284597483,46.176044041802704,0,221,166.0,139.0,189.0,193.86608324856118,48.33793194558899,86,255,200.0,159.0,237.0,image_0_1014.jpg,overripe
25.97111178538016,10.421532828092563,0,174,25.0,24.0,26.0,209.1068168600976,41.10337857725761,0,255,212.0,191.0,243.0,127.39710232875673,49.62788520081063,0,255,129.0,95.0,161.0,image_0_107.jpg,overripe
25.425042352524716,1.6764438350827309,14,36,25.0,24.0,26.0,198.17417633821336,35.68762433662454,6,245,201.0,182.0,226.0,131.82798553692888,39.33544644114913,56,244,129.0,101.0,158.0,image_0_107.jpg,overripe
25.42805127816127,1.6594157164993522,13,35,25.0,24.0,26.0,207.22822321676907,38.47010003705139,6,255,209.0,189.0,238.0,135.00230094313383,41.909522133736154,54,255,132.0,102.0,163.0,image_0_107.jpg,overripe
25.517623707299805,11.735208223342696,0,173,25.0,24.0,26.0,204.82904751068295,50.847578848489306,0,255,211.0,189.0,243.0,122.86530632885787,53.311641937458276,0,255,126.0,90.0,159.0,image_0_107.jpg,overripe
22.560658929429316,14.009733840167272,0,173,25.0,24.0,26.0,178.4421224304028,77.74165660387557,0,255,200.0,170.0,228.0,113.1309135502794,65.71084180688155,0,255,123.0,76.0,161.0,image_0_107.jpg,overripe
23.575757033270975,2.0953697503421584,16,39,23.0,23.0,24.0,192.30066506144883,51.16403056637621,13,255,201.0,174.0,227.0,158.20844261047807,50.803026770468946,52,255,163.0,119.0,196.0,image_0_1113.jpg,overripe
23.738522543166336,7.126890998554949,0,177,23.0,23.0,24.0,195.3035562437902,49.05878500855187,0,255,203.0,175.0,229.0,154.53842229164243,56.6093974192825,0,255,163.0,115.0,196.0,image_0_1113.jpg,overripe
19.96080344435593,15.784837782679812,0,174,23.0,21.0,24.0,147.80680994280291,92.05967036073484,0,255,180.0,64.0,223.0,112.12147441348382,84.50755267418134,0,255,121.0,20.0,185.0,image_0_1113.jpg,overripe
24.14173059193154,11.201880548326187,0,176,23.0,23.0,24.0,193.63646291141166,54.07629699270022,0,255,204.0,175.0,231.0,150.67571317322927,61.58996892853158,0,255,163.0,109.0,196.0,image_0_1113.jpg,overripe
23.556762949901092,2.113597765898404,15,40,23.0,23.0,24.0,181.43195875365873,48.164156091188296,12,242,191.0,166.0,215.0,146.47842354478647,44.62381057599696,53,232,151.0,112.0,180.0,image_0_1113.jpg,overripe
22.705170113173445,11.738510552304259,0,174,23.0,22.0,24.0,179.86301282820654,65.77833091890547,0,255,192.0,166.0,221.0,139.61758953975192,66.83639716799635,0,255,152.0,104.0,190.0,image_0_1156.jpg,overripe
23.643648378647427,2.346261309019385,0,173,23.0,23.0,24.0,188.5133753644778,46.072727171612215,0,255,193.0,169.0,218.0,157.38738783261908,45.8529418132228,52,255,159.0,124.0,193.0,image_0_1156.jpg,overripe
33.22210376938881,38.92052843159273,0,179,22.0,20.0,24.0,191.52332304911712,52.41649089906098,0,255,207.0,165.0,231.0,116.1556187826971,46.72187902820966,7,217,117.0,81.0,153.0,image_0_1156.jpg,overripe
30.27927648068003,34.0232428070852,0,179,22.0,20.0,24.0,195.1138935760126,50.769030788974064,0,255,209.0,174.0,233.0,116.53665958303034,45.83032409732727,10,215,118.0,83.0,152.0,image_0_1156.jpg,overripe
24.019528243940666,9.295311021695136,0,175,23.0,22.0,24.0,191.525243397039,45.26174211314695,0,255,194.0,171.0,221.0,150.387063067897,54.729965217113275,0,255,157.0,117.0,192.0,image_0_1156.jpg,overripe
20.707856914833364,8.12729337453878,0,170,21.0,18.0,26.0,72.58567637982583,75.38806374070145,0,255,27.0,15.0,146.0,152.51024464254454,69.34093569778908,0,253,173.0,105.0,210.0,image_0_116.jpg,overripe
22.594800273236235,5.3584452806172,0,55,22.0,19.0,26.0,69.27885886112665,69.08803220925023,2,245,28.0,16.0,136.0,192.37216423008138,54.8095761004635,64,255,214.0,144.0,241.0,image_0_116.jpg,overripe
22.374086495058748,5.408766832517333,0,55,22.0,18.0,26.0,69.09245408017904,68.58022660195111,2,243,28.0,16.0,135.0,190.16596011986695,54.13530186958333,64,255,211.0,143.0,237.0,image_0_116.jpg,overripe
